cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative
3,315,mp-7188,Al2Os,21895,mp-2319,P2Os,0.4217388812421799,1,0.2,high_similarity,Al2Os,2631.69583333333,($/mt),2025.0,low_cost,5,P2Os,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
3,315,mp-7188,Al2Os,21891,mp-10155,P2Ir,0.5944872644110177,2,0.4,moderate_similarity,Al2Os,2631.69583333333,($/mt),2025.0,low_cost,5,P2Ir,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
3,315,mp-7188,Al2Os,21908,mp-730,P2Pt,0.7190331629499626,3,0.6,moderate_similarity,Al2Os,2631.69583333333,($/mt),2025.0,low_cost,5,P2Pt,152.5,($/mt),2025.0,low_cost,2,-2479.19583333333,2479.19583333333,True
0,33266,mp-723044,ZnH12N3Cl5,470,mp-1199829,AlH15Br3N5,0.5663683759263962,1,0.2,high_similarity,ZnH12N3Cl5,2867.52833333333,($/mt),2025.0,medium_cost,5,AlH15Br3N5,2631.69583333333,($/mt),2025.0,low_cost,4,-235.83249999999998,235.83249999999998,True
0,33266,mp-723044,ZnH12N3Cl5,21981,mp-707324,PH6SN3,0.6133217580803959,2,0.4,moderate_similarity,ZnH12N3Cl5,2867.52833333333,($/mt),2025.0,medium_cost,5,PH6SN3,152.5,($/mt),2025.0,low_cost,2,-2715.02833333333,2715.02833333333,True
0,33266,mp-723044,ZnH12N3Cl5,471,mp-699469,AlH15N5Cl3,0.6690177189645886,3,0.6,moderate_similarity,ZnH12N3Cl5,2867.52833333333,($/mt),2025.0,medium_cost,5,AlH15N5Cl3,2631.69583333333,($/mt),2025.0,low_cost,4,-235.83249999999998,235.83249999999998,True
0,21751,mp-735541,NiSn2H12(OF)6,503,mp-1215134,AlP2H12N3O8,0.6177911132211213,3,0.6,moderate_similarity,NiSn2H12(OF)6,15162.1583333333,($/mt),2025.0,high_cost,8,AlP2H12N3O8,2631.69583333333,($/mt),2025.0,low_cost,4,-12530.46249999997,12530.46249999997,True
2,21596,mp-755246,Ni(IO3)2,22093,mp-20820,Pb(NO3)2,0.4161210208215609,3,0.6,moderate_similarity,Ni(IO3)2,15162.1583333333,($/mt),2025.0,high_cost,9,Pb(NO3)2,1962.235,($/mt),2025.0,low_cost,4,-13199.9233333333,13199.9233333333,True
2,21918,mp-755995,P2WO7,178,mp-12021,AgBF4,0.3543063157551216,2,0.4,moderate_similarity,P2WO7,152.5,($/mt),2025.0,low_cost,2,AgBF4,39.80466666667,($/troy oz),2025.0,low_cost,1,-112.69533333333,112.69533333333,True
2,26810,mp-757192,SnP2O7,407,mp-5189,AlAsO4,0.19334310404877,1,0.2,high_similarity,SnP2O7,34058.8358333333,($/mt),2025.0,high_cost,10,AlAsO4,2631.69583333333,($/mt),2025.0,low_cost,5,-31427.13999999997,31427.13999999997,True
0,26731,mp-759223,Sn(SO4)2,33125,mp-779594,Zn2As2O7,0.4935301523574398,3,0.6,moderate_similarity,Sn(SO4)2,34058.8358333333,($/mt),2025.0,high_cost,9,Zn2As2O7,2867.52833333333,($/mt),2025.0,medium_cost,5,-31191.307499999974,31191.307499999974,True
2,26727,mp-766947,Sn(PO3)2,266,mp-19521,Al2(MoO4)3,0.2637215029917432,1,0.2,high_similarity,Sn(PO3)2,34058.8358333333,($/mt),2025.0,high_cost,10,Al2(MoO4)3,2631.69583333333,($/mt),2025.0,low_cost,5,-31427.13999999997,31427.13999999997,True
2,33324,mp-778924,ZnSeO4,107,mp-1192057,Ag2S2O7,0.1260844684256665,1,0.2,high_similarity,ZnSeO4,2867.52833333333,($/mt),2025.0,medium_cost,6,Ag2S2O7,39.80466666667,($/troy oz),2025.0,low_cost,1,-2827.72366666666,2827.72366666666,True
1,447,mp-8017,AlCuTe2,173,mp-570340,AgAuCl4,0.3784377809649986,2,0.4,moderate_similarity,AlCuTe2,2631.69583333333,($/mt),2025.0,medium_cost,5,AgAuCl4,39.80466666667,($/troy oz),2025.0,low_cost,1,-2591.89116666666,2591.89116666666,True
3,664,mp-81,Au,23244,mp-126,Pt,1.105456013898777,3,0.6,moderate_similarity,Au,3441.50583333333,($/troy oz),2025.0,medium_cost,7,Pt,1278.29333333333,($/troy oz),2025.0,low_cost,3,-2163.2124999999996,2163.2124999999996,True
4,26807,mp-856,SnO2,33292,mp-2133,ZnO,0.5474254968413522,2,0.4,moderate_similarity,SnO2,34058.8358333333,($/mt),2025.0,high_cost,10,ZnO,2867.52833333333,($/mt),2025.0,medium_cost,6,-31191.307499999974,31191.307499999974,True
4,7390,mp-862256,Cu2PdAu,436,mp-867306,AlCuAu2,0.2629138316885336,1,0.2,high_similarity,Cu2PdAu,9947.305,($/mt),2025.0,medium_cost,8,AlCuAu2,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True
4,7390,mp-862256,Cu2PdAu,33133,mp-980665,Zn2CuIr,0.2686839242827101,2,0.4,moderate_similarity,Cu2PdAu,9947.305,($/mt),2025.0,medium_cost,8,Zn2CuIr,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
2,26791,mp-863000,SnH6(NF2)2,478,mp-1192001,AlH6BrO4,0.3850768725230896,2,0.4,moderate_similarity,SnH6(NF2)2,34058.8358333333,($/mt),2025.0,high_cost,10,AlH6BrO4,2631.69583333333,($/mt),2025.0,low_cost,5,-31427.13999999997,31427.13999999997,True
4,33250,mp-864623,ZnCuAu2,436,mp-867306,AlCuAu2,0.3919141394652998,3,0.6,moderate_similarity,ZnCuAu2,2867.52833333333,($/mt),2025.0,medium_cost,6,AlCuAu2,2631.69583333333,($/mt),2025.0,low_cost,5,-235.83249999999998,235.83249999999998,True
4,7472,mp-867917,CuGeRh2,33264,mp-1187920,ZnGeRh2,0.1718120082255896,2,0.4,moderate_similarity,CuGeRh2,9947.305,($/mt),2025.0,medium_cost,8,ZnGeRh2,2867.52833333333,($/mt),2025.0,medium_cost,6,-7079.77666666667,7079.77666666667,True
1,7489,mp-927,CuP2,21943,mp-27173,P4Ru,0.5730457469134472,1,0.2,high_similarity,CuP2,9947.305,($/mt),2025.0,high_cost,8,P4Ru,152.5,($/mt),2025.0,low_cost,2,-9794.805,9794.805,True
